From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
CAB11864.1	P37573	reviewed	DISA_BACSU	DNA integrity scanning protein DisA (Cyclic di-AMP synthase) (c-di-AMP synthase) (Diadenylate cyclase) (DAC) (EC 2.7.7.85)	disA comY orf6 yacK BSU00880	Bacillus subtilis (strain 168)	360
CAB11865.1	Q06754	reviewed	YACL_BACSU	Uncharacterized PIN and TRAM-domain containing protein YacL (Putative RNase YacL) (EC 3.1.-.-)	yacL BSU00890	Bacillus subtilis (strain 168)	366
CAB11866.1	Q06755	reviewed	ISPD_BACSU	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (MEP cytidylyltransferase) (MCT)	ispD yacM BSU00900	Bacillus subtilis (strain 168)	232
CAB11867.1	Q06756	reviewed	ISPF_BACSU	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF yacN BSU00910	Bacillus subtilis (strain 168)	158
CAB11868.1	P22250	reviewed	SYE_BACSU	Glutamate--tRNA ligase (EC 6.1.1.17) (Glutamyl-tRNA synthetase) (GluRS)	gltX BSU00920	Bacillus subtilis (strain 168)	483
CAB11869.1	Q06750	reviewed	CYSE_BACSU	Serine acetyltransferase (SAT) (EC 2.3.1.30)	cysE cysA BSU00930	Bacillus subtilis (strain 168)	217
CAB11870.1	Q06752	reviewed	SYC_BACSU	Cysteine--tRNA ligase (EC 6.1.1.16) (Cysteinyl-tRNA synthetase) (CysRS)	cysS spnA BSU00940	Bacillus subtilis (strain 168)	466
CAB11871.1	O31418	reviewed	MRNC_BACSU	Mini-ribonuclease 3 (Mini-3) (Mini-RNase 3) (EC 3.1.26.-) (Mini-RNase III) (Mini-III)	mrnC yazC BSU00950	Bacillus subtilis (strain 168)	143
CAB11872.1	Q06753	reviewed	YACO_BACSU	Putative TrmH family tRNA/rRNA methyltransferase YacO (EC 2.1.1.-)	yacO BSU00960	Bacillus subtilis (strain 168)	249
CAB11873.1	P37574	reviewed	YACP_BACSU	Uncharacterized protein YacP	yacP BSU00970	Bacillus subtilis (strain 168)	170
CAB11874.1	P17869	reviewed	RPSH_BACSU	RNA polymerase sigma-H factor (Sigma-30) (Stage 0 sporulation protein H)	sigH spo0H BSU00980	Bacillus subtilis (strain 168)	218
CAB11875.1	Q06798	reviewed	RL332_BACSU	Large ribosomal subunit protein bL33B (50S ribosomal protein L33 2)	rpmGB rpmG rpmG2 BSU00990	Bacillus subtilis (strain 168)	49
CAB11876.1	Q06799	reviewed	SECE_BACSU	Protein translocase subunit SecE	secE BSU01000	Bacillus subtilis (strain 168)	59
CAB11877.1	Q06795	reviewed	NUSG_BACSU	Transcription termination/antitermination protein NusG	nusG BSU01010	Bacillus subtilis (strain 168)	177
CAB11878.2	Q06796	reviewed	RL11_BACSU	Large ribosomal subunit protein uL11 (50S ribosomal protein L11) (BL11)	rplK relC tsp6 BSU01020	Bacillus subtilis (strain 168)	141
CAB11879.2	Q06797	reviewed	RL1_BACSU	Large ribosomal subunit protein uL1 (50S ribosomal protein L1) (BL1)	rplA BSU01030	Bacillus subtilis (strain 168)	232
CAB11880.2	P42923	reviewed	RL10_BACSU	Large ribosomal subunit protein uL10 (50S ribosomal protein L10) (BL5) (Cold acclimatization protein) (CAP) (Vegetative protein 300) (VEG300)	rplJ BSU01040	Bacillus subtilis (strain 168)	166
CAB11881.1	P02394	reviewed	RL7_BACSU	Large ribosomal subunit protein bL12 (50S ribosomal protein L7/L12) (BL9) (Vegetative protein 341) (VEG341)	rplL BSU01050	Bacillus subtilis (strain 168)	123
CAB11882.1	P37872	reviewed	YBXB_BACSU	Uncharacterized protein YbxB (ORF23) (P23)	ybxB ybaA BSU01060	Bacillus subtilis (strain 168)	201
CAB11883.2	P37870	reviewed	RPOB_BACSU	DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)	rpoB crsE rfm BSU01070	Bacillus subtilis (strain 168)	1193
CAB11884.2	P37871	reviewed	RPOC_BACSU	DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')	rpoC lpm std BSU01080	Bacillus subtilis (strain 168)	1199
CAB11885.1	P46350	reviewed	RXL7_BACSU	RNA-binding protein YbxF (Putative large ribosomal subunit protein eL8) (Ribosome-associated protein L7Ae-like)	rulS rplGB ybaB ybxF BSU01090	Bacillus subtilis (strain 168)	82
CAB11886.2	P21472	reviewed	RS12_BACSU	Small ribosomal subunit protein uS12 (30S ribosomal protein S12) (BS12)	rpsL fun strA BSU01100	Bacillus subtilis (strain 168)	138
CAB11887.2	P21469	reviewed	RS7_BACSU	Small ribosomal subunit protein uS7 (30S ribosomal protein S7) (BS7)	rpsG BSU01110	Bacillus subtilis (strain 168)	156
CAB11888.2	P80868	reviewed	EFG_BACSU	Elongation factor G (EF-G) (Vegetative protein 19) (VEG19)	fusA fus BSU01120	Bacillus subtilis (strain 168)	692
CAB11889.1	P33166	reviewed	EFTU_BACSU	Elongation factor Tu (EF-Tu) (P-40)	tuf tufA BSU01130	Bacillus subtilis (strain 168)	396
CAB11890.2	P70981	reviewed	YBAC_BACSU	Probable aminopeptidase YbaC (EC 3.4.11.-)	ybaC BSU01140	Bacillus subtilis (strain 168)	318
CAB11891.1	P21471	reviewed	RS10_BACSU	Small ribosomal subunit protein uS10 (30S ribosomal protein S10) (BS13)	rpsJ tetA BSU01150	Bacillus subtilis (strain 168)	102
CAB11892.1	P42920	reviewed	RL3_BACSU	Large ribosomal subunit protein uL3 (50S ribosomal protein L3) (BL3)	rplC BSU01160	Bacillus subtilis (strain 168)	209
CAB11893.1	P42921	reviewed	RL4_BACSU	Large ribosomal subunit protein uL4 (50S ribosomal protein L4)	rplD BSU01170	Bacillus subtilis (strain 168)	207
CAB11894.2	P42924	reviewed	RL23_BACSU	Large ribosomal subunit protein uL23 (50S ribosomal protein L23)	rplW BSU01180	Bacillus subtilis (strain 168)	95
CAB11895.2	P42919	reviewed	RL2_BACSU	Large ribosomal subunit protein uL2 (50S ribosomal protein L2) (BL2)	rplB BSU01190	Bacillus subtilis (strain 168)	277
CAB11896.1	P21476	reviewed	RS19_BACSU	Small ribosomal subunit protein uS19 (30S ribosomal protein S19) (BS19)	rpsS BSU01200	Bacillus subtilis (strain 168)	92
CAB11897.1	P42060	reviewed	RL22_BACSU	Large ribosomal subunit protein uL22 (50S ribosomal protein L22)	rplV BSU01210	Bacillus subtilis (strain 168)	113
CAB11898.2	P21465	reviewed	RS3_BACSU	Small ribosomal subunit protein uS3 (30S ribosomal protein S3) (BS3) (BS2)	rpsC BSU01220	Bacillus subtilis (strain 168)	218
CAB11899.1	P14577	reviewed	RL16_BACSU	Large ribosomal subunit protein uL16 (50S ribosomal protein L16)	rplP BSU01230	Bacillus subtilis (strain 168)	144
CAB11900.1	P12873	reviewed	RL29_BACSU	Large ribosomal subunit protein uL29 (50S ribosomal protein L29)	rpmC BSU01240	Bacillus subtilis (strain 168)	66
CAB11901.1	P12874	reviewed	RS17_BACSU	Small ribosomal subunit protein uS17 (30S ribosomal protein S17) (BS16)	rpsQ BSU01250	Bacillus subtilis (strain 168)	87
CAB11902.1	P12875	reviewed	RL14_BACSU	Large ribosomal subunit protein uL14 (50S ribosomal protein L14)	rplN BSU01260	Bacillus subtilis (strain 168)	122
CAB11903.1	P0CI78	reviewed	RL24_BACSU	Large ribosomal subunit protein uL24 (12 kDa DNA-binding protein) (50S ribosomal protein L24) (BL23) (HPB12)	rplX BSU01270	Bacillus subtilis (strain 168)	103
CAB11904.1	P12877	reviewed	RL5_BACSU	Large ribosomal subunit protein uL5 (50S ribosomal protein L5) (BL6)	rplE BSU01280	Bacillus subtilis (strain 168)	179
CAB11905.1	P12878	reviewed	RS14B_BACSU	Small ribosomal subunit protein uS14B (30S ribosomal protein S14 type Z) (30S ribosomal protein S14-1) (BSA)	rpsN1 rpsN rpsNA rpsZ BSU01290	Bacillus subtilis (strain 168)	61
CAB11906.2	P12879	reviewed	RS8_BACSU	Small ribosomal subunit protein uS8 (30S ribosomal protein S8) (BS8)	rpsH BSU01300	Bacillus subtilis (strain 168)	132
CAB11907.1	P46898	reviewed	RL6_BACSU	Large ribosomal subunit protein uL6 (50S ribosomal protein L6) (BL10)	rplF BSU01310	Bacillus subtilis (strain 168)	179
CAB11908.2	P46899	reviewed	RL18_BACSU	Large ribosomal subunit protein uL18 (50S ribosomal protein L18) (BL16)	rplR BSU01320	Bacillus subtilis (strain 168)	120
CAB11909.1	P21467	reviewed	RS5_BACSU	Small ribosomal subunit protein uS5 (30S ribosomal protein S5) (BS5)	rpsE spcA BSU01330	Bacillus subtilis (strain 168)	166
CAB11910.1	P19947	reviewed	RL30_BACSU	Large ribosomal subunit protein uL30 (50S ribosomal protein L30) (BL27)	rpmD BSU01340	Bacillus subtilis (strain 168)	59
CAB11911.1	P19946	reviewed	RL15_BACSU	Large ribosomal subunit protein uL15 (50S ribosomal protein L15)	rplO BSU01350	Bacillus subtilis (strain 168)	146
CAB11912.1	P16336	reviewed	SECY_BACSU	Protein translocase subunit SecY	secY BSU01360	Bacillus subtilis (strain 168)	431
CAB11913.1	P16304	reviewed	KAD_BACSU	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase) (Superoxide-inducible protein 16) (SOI16)	adk BSU01370	Bacillus subtilis (strain 168)	217
CAB11914.1	P19994	reviewed	MAP11_BACSU	Methionine aminopeptidase 1 (MAP 1) (MetAP 1) (EC 3.4.11.18) (Peptidase M)	map BSU01380	Bacillus subtilis (strain 168)	248
CAX52539.1	C0H3S8	reviewed	YBZG_BACSU	Putative ribosome-binding protein YbzG	ybzG BSU01389	Bacillus subtilis (strain 168)	74
CAB11915.1	P20458	reviewed	IF1_BACSU	Translation initiation factor IF-1	infA BSU01390	Bacillus subtilis (strain 168)	72
CAB11916.1	P20278	reviewed	RL36_BACSU	Large ribosomal subunit protein bL36 (50S ribosomal protein L36) (BL38) (Ribosomal protein B) (Ribosomal protein II)	rpmJ BSU01400	Bacillus subtilis (strain 168)	37
CAB11917.2	P20282	reviewed	RS13_BACSU	Small ribosomal subunit protein uS13 (30S ribosomal protein S13) (BS14)	rpsM BSU01410	Bacillus subtilis (strain 168)	121
CAB11918.1	P04969	reviewed	RS11_BACSU	Small ribosomal subunit protein uS11 (30S ribosomal protein S11) (BS11)	rpsK BSU01420	Bacillus subtilis (strain 168)	131
CAB11919.1	P20429	reviewed	RPOA_BACSU	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA BSU01430	Bacillus subtilis (strain 168)	314
CAB11920.1	P20277	reviewed	RL17_BACSU	Large ribosomal subunit protein bL17 (50S ribosomal protein L17) (BL15) (BL21)	rplQ BSU01440	Bacillus subtilis (strain 168)	120
