,gene_id,gene_name,gene_ontology
227,BSU_06440,purB,(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate AMP-lyase (fumarate-forming) activity
228,BSU_06450,purC,cytosol
229,BSU_06500,purM,purine nucleotide biosynthetic process
230,BSU_06500,purM,cytosol
231,BSU_06500,purM,adenine biosynthetic process
232,BSU_06500,purM,phosphoribosylamine-glycine ligase activity
233,BSU_06500,purM,phosphoribosylformylglycinamidine cyclo-ligase activity
234,BSU_06510,purN,cytosol
235,BSU_06510,purN,'de novo' IMP biosynthetic process
236,BSU_06510,purN,cytoplasm
237,BSU_06510,purN,phosphoribosylglycinamide formyltransferase activity
238,BSU_40080,gntZ,NADP binding
239,BSU_40080,gntZ,"pentose-phosphate shunt, oxidative branch"
240,BSU_40080,gntZ,cytosol
241,BSU_40080,gntZ,phosphogluconate dehydrogenase (decarboxylating) activity
242,BSU_40080,gntZ,D-gluconate catabolic process
243,BSU_40070,gntP,gluconate transmembrane transport
244,BSU_40070,gntP,integral component of plasma membrane
245,BSU_40070,gntP,gluconate transmembrane transporter activity
246,BSU_03930,gdh,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
247,BSU_16240,fliI,"proton-transporting ATP synthase complex, catalytic core F(1)"
248,BSU_16240,fliI,ATPase activity
249,BSU_16230,fliH,cytosol
250,BSU_10620,addB,recombinational repair
251,BSU_10620,addB,DNA helicase complex
252,BSU_10620,addB,cytosol
253,BSU_10620,addB,3'-5' DNA helicase activity
254,BSU_10630,addA,DNA helicase complex
255,BSU_10630,addA,cytosol
256,BSU_10630,addA,recombinational repair
257,BSU_10630,addA,3'-5' DNA helicase activity
258,BSU_01300,rpsH,cytosolic small ribosomal subunit
259,BSU_01300,rpsH,structural constituent of ribosome
263,BSU_01280,rplE,RNA binding
264,BSU_01280,rplE,structural constituent of ribosome
265,BSU_01280,rplE,cytosolic large ribosomal subunit
269,BSU_01250,rpsQ,structural constituent of ribosome
270,BSU_01250,rpsQ,cytosolic small ribosomal subunit
271,BSU_01240,rpmC,cytosolic large ribosomal subunit
272,BSU_39490,yxeN,amino acid transport
273,BSU_39490,yxeN,plasma membrane
274,BSU_03010,amhX,hydrolase activity
280,BSU_21680,msrB,cytoplasm
281,BSU_21680,msrB,peptide-methionine (R)-S-oxide reductase activity
282,BSU_26510,yrkH,sulfur dioxygenase activity
283,BSU_26510,yrkH,hydrogen sulfide metabolic process
284,BSU_26510,yrkH,"hydrolase activity, acting on ester bonds"
285,BSU_26510,yrkH,glutathione metabolic process
286,BSU_26410,psiE,plasma membrane
287,BSU_25710,cwlH,peptidoglycan turnover
288,BSU_25710,cwlH,peptidoglycan catabolic process
289,BSU_25710,cwlH,N-acetylmuramoyl-L-alanine amidase activity
290,BSU_25680,yqeG,phosphatase activity
291,BSU_25180,trmK,tRNA (adenine-N1-)-methyltransferase activity
292,BSU_23810,yqjN,arginine biosynthetic process
293,BSU_23810,yqjN,acetylornithine deacetylase activity
294,BSU_30230,bioK,adenosylmethionine-8-amino-7-oxononanoate transaminase activity
295,BSU_30230,bioK,biotin biosynthetic process
296,BSU_30210,bioD,cytosol
297,BSU_30210,bioD,dethiobiotin synthase activity
298,BSU_30210,bioD,biotin biosynthetic process
299,BSU_21870,ilvD,cytosol
300,BSU_21870,ilvD,hydro-lyase activity
301,BSU_15910,fabG,fatty acid elongation
302,BSU_15910,fabG,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor"
303,BSU_15950,ftsY,GTPase activity
304,BSU_15950,ftsY,protein targeting
305,BSU_15950,ftsY,signal recognition particle binding
306,BSU_15950,ftsY,membrane
307,BSU_15950,ftsY,plasma membrane
308,BSU_18480,proH,L-proline biosynthetic process
309,BSU_18480,proH,pyrroline-5-carboxylate reductase activity
310,BSU_32669,yuzN,"regulation of transcription, DNA-templated"
311,BSU_32669,yuzN,transcription regulatory region sequence-specific DNA binding
312,BSU_34970,ppaX,DNA repair
313,BSU_34970,ppaX,dephosphorylation
314,BSU_34970,ppaX,cytosol
315,BSU_34970,ppaX,phosphoglycolate phosphatase activity
316,BSU_12370,exuR,DNA-binding transcription factor activity
317,BSU_12370,exuR,transcription regulatory region sequence-specific DNA binding
318,BSU_12370,exuR,"regulation of transcription, DNA-templated"
319,BSU_28540,fadB,enoyl-CoA hydratase activity
320,BSU_28540,fadB,fatty acid beta-oxidation
321,BSU_15680,gmk,cytosol
322,BSU_15680,gmk,guanylate kinase activity
323,BSU_39350,hutH,histidine catabolic process
324,BSU_39350,hutH,histidine ammonia-lyase activity
325,BSU_39350,hutH,ammonia-lyase activity
326,BSU_23470,spoIIAA,anti-sigma factor antagonist activity
327,BSU_16470,sigD,"regulation of transcription, DNA-templated"
333,BSU_28630,pheT,phenylalanine-tRNA ligase complex
334,BSU_28630,pheT,phenylalanyl-tRNA aminoacylation
335,BSU_28640,pheS,phenylalanine-tRNA ligase activity
336,BSU_28640,pheS,cytoplasm
337,BSU_28640,pheS,phenylalanyl-tRNA aminoacylation
338,BSU_04710,rsbV,anti-sigma factor antagonist activity
339,BSU_24240,recN,response to radiation
340,BSU_24240,recN,SOS response
341,BSU_24240,recN,double-strand break repair via homologous recombination
342,BSU_16630,infB,translation initiation factor activity
343,BSU_16630,infB,translational initiation
344,BSU_00980,sigH,"regulation of transcription, DNA-templated"
347,BSU_15290,ftsZ,cell division
348,BSU_15290,ftsZ,GTP binding
349,BSU_15290,ftsZ,GTPase activity
350,BSU_15290,ftsZ,cell division site
351,BSU_15290,ftsZ,cytoplasm
352,BSU_23260,ribBA,GTP cyclohydrolase II activity
353,BSU_23260,ribBA,cytosol
354,BSU_23260,ribBA,riboflavin biosynthetic process
355,BSU_23280,ribD,diaminohydroxyphosphoribosylaminopyrimidine deaminase activity
359,BSU_26720,azlB,cytosol
360,BSU_26720,azlB,sequence-specific DNA binding
361,BSU_26720,azlB,response to amino acid
362,BSU_26870,yraN,transcription regulatory region sequence-specific DNA binding
363,BSU_26870,yraN,"regulation of transcription, DNA-templated"
364,BSU_14810,ylaK,cytosol
365,BSU_14810,ylaK,ATP binding
370,BSU_10390,yhfW,oxidoreductase activity
371,BSU_10390,yhfW,cytoplasm
372,BSU_10350,yhfS,fatty acid beta-oxidation
373,BSU_10350,yhfS,acetyl-CoA C-acyltransferase activity
374,BSU_10350,yhfS,phenylacetate catabolic process
375,BSU_10340,phoE,cytoplasm
376,BSU_10340,phoE,"intramolecular transferase activity, phosphotransferases"
377,BSU_10250,lplJ,cytoplasm
378,BSU_10250,lplJ,protein lipoylation
379,BSU_10250,lplJ,lipoate-protein ligase activity
380,BSU_10250,lplJ,lipoyltransferase activity
381,BSU_10220,gltT,transmembrane transporter activity
382,BSU_10220,gltT,plasma membrane
383,BSU_10220,gltT,dicarboxylic acid transport
384,BSU_10220,gltT,membrane
385,BSU_10170,fabHB,beta-ketoacyl-acyl-carrier-protein synthase III activity
386,BSU_10170,fabHB,fatty acid metabolic process
394,BSU_09380,nsrR,DNA-binding transcription factor activity
395,BSU_09380,nsrR,cytosol
396,BSU_09380,nsrR,"regulation of transcription, DNA-templated"
397,BSU_10560,ntdR,"regulation of transcription, DNA-templated"
398,BSU_10560,ntdR,transcription regulatory region sequence-specific DNA binding
399,BSU_10560,ntdR,DNA-binding transcription factor activity
400,BSU_10550,ntdA,polysaccharide biosynthetic process
401,BSU_10550,ntdA,transaminase activity
402,BSU_10550,ntdA,pyridoxal phosphate binding
403,BSU_10540,ntdB,magnesium ion binding
404,BSU_10540,ntdB,phosphatase activity
405,BSU_10540,ntdB,cytosol
406,BSU_10520,glcP,membrane
407,BSU_10490,sipV,signal peptide processing
408,BSU_10490,sipV,serine-type endopeptidase activity
409,BSU_10490,sipV,integral component of plasma membrane
416,BSU_09370,lytF,lytic endotransglycosylase activity
417,BSU_09910,yhaO,exodeoxyribonuclease activity
418,BSU_09910,yhaO,DNA repair
419,BSU_09910,yhaO,DNA binding
420,BSU_09930,yhaM,rRNA 3'-end processing
422,BSU_05950,ydiF,ATP binding
423,BSU_05910,tsaE,tRNA threonylcarbamoyladenosine modification
424,BSU_05870,gmuF,"negative regulation of transcription, DNA-templated"
425,BSU_05870,gmuF,transcription regulatory region sequence-specific DNA binding
426,BSU_05860,gmuE,"negative regulation of transcription, DNA-templated"
427,BSU_05860,gmuE,transcription regulatory region sequence-specific DNA binding
428,BSU_05850,gmuR,"negative regulation of transcription, DNA-templated"
429,BSU_05840,gmuD,beta-glucosidase activity
430,BSU_05840,gmuD,carbohydrate catabolic process
431,BSU_05840,gmuD,cytosol
432,BSU_05830,gmuC,plasma membrane
433,BSU_05830,gmuC,carbohydrate derivative transport
434,BSU_05720,ydhE,intracellular membrane-bounded organelle
435,BSU_05720,ydhE,UDP-glycosyltransferase activity
436,BSU_26800,yrpB,nitronate monooxygenase activity
437,BSU_26860,yraO,anion transmembrane transport
438,BSU_26860,yraO,integral component of membrane
439,BSU_27100,yrhP,amino acid transport
440,BSU_27100,yrhP,integral component of plasma membrane
441,BSU_27100,yrhP,amino acid transmembrane transporter activity
444,BSU_34590,mdxG,maltodextrin transport
445,BSU_34590,mdxG,ABC-type maltose transporter activity
446,BSU_34590,mdxG,maltose transport
447,BSU_34600,mdxF,ABC-type maltose transporter activity
448,BSU_34600,mdxF,maltose transport complex
449,BSU_34600,mdxF,maltodextrin transport
457,BSU_34730,yvcN,arylamine N-acetyltransferase activity
458,BSU_34750,whiA,regulation of sporulation
459,BSU_34820,bmrA,transmembrane transport
460,BSU_34820,bmrA,ATPase-coupled transmembrane transporter activity
461,BSU_34820,bmrA,ATPase-coupled lipid transmembrane transporter activity
462,BSU_27250,mccB,pyridoxal phosphate binding
463,BSU_27250,mccB,transsulfuration
464,BSU_27250,mccB,cystathionine gamma-lyase activity
465,BSU_27250,mccB,cysteine biosynthetic process via cystathionine
466,BSU_27250,mccB,cystathionine gamma-synthase activity
467,BSU_27250,mccB,carbon-sulfur lyase activity
468,BSU_27250,mccB,cytoplasm
469,BSU_27260,mccA,pyridoxal phosphate binding
470,BSU_27260,mccA,cytoplasm
471,BSU_27770,yrbE,oxidoreductase activity
472,BSU_27770,yrbE,cytoplasm
473,BSU_27770,yrbE,NADPH regeneration
474,BSU_32100,yumB,NAD(P)H dehydrogenase (quinone) activity
475,BSU_32100,yumB,aerobic electron transport chain
476,BSU_31200,rhaB,rhamnose catabolic process
481,BSU_31660,mrpG,sodium:proton antiporter activity
482,BSU_36030,ywrK,integral component of membrane
483,BSU_36030,ywrK,integral component of plasma membrane
487,BSU_11020,yitK,nucleotide binding
488,BSU_11020,yitK,cytosol
489,BSU_10970,yitF,hydro-lyase activity
490,BSU_10970,yitF,magnesium ion binding
491,BSU_10970,yitF,carbohydrate catabolic process
493,BSU_10930,yitB,phosphoadenylyl-sulfate reductase (thioredoxin) activity
494,BSU_10930,yitB,"sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)"
495,BSU_10870,yisU,L-arginine transport
496,BSU_10870,yisU,amino acid transmembrane transporter activity
497,BSU_10870,yisU,arginine transmembrane transporter activity
498,BSU_10870,yisU,amino acid transport
499,BSU_10870,yisU,integral component of plasma membrane
501,BSU_15930,rnc,ribonuclease III activity
502,BSU_15930,rnc,RNA processing
503,BSU_15930,rnc,double-stranded RNA binding
504,BSU_21930,cspD,cytosol
505,BSU_21930,cspD,RNA binding
506,BSU_21930,cspD,regulation of gene expression
507,BSU_21930,cspD,"negative regulation of DNA-templated transcription, termination"
508,BSU_21930,cspD,"transcription antitermination factor activity, RNA binding"
509,BSU_21930,cspD,nucleic acid binding
510,BSU_01440,rplQ,large ribosomal subunit
511,BSU_01440,rplQ,cytosolic large ribosomal subunit
512,BSU_01440,rplQ,structural constituent of ribosome
513,BSU_15740,rsmB,rRNA (cytosine-C5-)-methyltransferase activity
514,BSU_15740,rsmB,RNA methylation
515,BSU_15740,rsmB,rRNA base methylation
516,BSU_15740,rsmB,cytosol
527,BSU_36480,ywoD,transmembrane transport
528,BSU_36480,ywoD,transmembrane transporter activity
529,BSU_36480,ywoD,integral component of plasma membrane
530,BSU_36360,mscL,ion transport
531,BSU_36360,mscL,integral component of membrane
532,BSU_36360,mscL,cellular water homeostasis
533,BSU_36360,mscL,mechanosensitive ion channel activity
534,BSU_38410,sacX,plasma membrane
535,BSU_38410,sacX,protein-phosphocysteine-sugar phosphotransferase activity
536,BSU_38410,sacX,phosphoenolpyruvate-dependent sugar phosphotransferase system
537,BSU_38410,sacX,carbohydrate transmembrane transport
538,BSU_38410,sacX,trehalose transport
539,BSU_38410,sacX,protein-phosphocysteine-trehalose phosphotransferase system transporter activity
540,BSU_28070,comC,plasma membrane
541,BSU_28070,comC,signal peptide processing
542,BSU_28070,comC,aspartic-type endopeptidase activity
543,BSU_25480,grpE,unfolded protein binding
544,BSU_25480,grpE,adenyl-nucleotide exchange factor activity
545,BSU_07250,cypD,FMN binding
546,BSU_07250,cypD,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
547,BSU_07250,cypD,oxidoreductase activity
548,BSU_07250,cypD,cytosol
549,BSU_07250,cypD,flavin adenine dinucleotide binding
550,BSU_27160,cypB,flavin adenine dinucleotide binding
551,BSU_27160,cypB,oxidoreductase activity
552,BSU_27160,cypB,cytosol
553,BSU_27160,cypB,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, NAD(P)H as one donor, and incorporation of one atom of oxygen"
554,BSU_27160,cypB,FMN binding
558,BSU_28150,hemC,cytoplasm
559,BSU_28150,hemC,hydroxymethylbilane synthase activity
560,BSU_28150,hemC,heme biosynthetic process
561,BSU_23270,ribE,riboflavin synthase activity
562,BSU_23270,ribE,riboflavin biosynthetic process
563,BSU_16100,sucD,succinate-CoA ligase complex (ADP-forming)
564,BSU_16100,sucD,tricarboxylic acid cycle
565,BSU_16100,sucD,succinate-CoA ligase (ADP-forming) activity
566,BSU_16100,sucD,succinate-CoA ligase (GDP-forming) activity
567,BSU_16100,sucD,cytosol
568,BSU_01360,secY,protein transmembrane transporter activity
569,BSU_01360,secY,integral component of plasma membrane
570,BSU_01360,secY,"SRP-dependent cotranslational protein targeting to membrane, translocation"
571,BSU_01360,secY,signal sequence binding
572,BSU_01360,secY,cell envelope Sec protein transport complex
573,BSU_01370,adk,cytosol
574,BSU_01370,adk,cytoplasm
575,BSU_01370,adk,nucleoside diphosphate kinase activity
576,BSU_01370,adk,adenylate kinase activity
577,BSU_01370,adk,nucleoside monophosphate metabolic process
578,BSU_01370,adk,nucleoside diphosphate metabolic process
579,BSU_18840,xynA,xylan catabolic process
580,BSU_37560,thrZ,cytosol
581,BSU_37560,thrZ,threonyl-tRNA aminoacylation
582,BSU_37560,thrZ,threonine-tRNA ligase activity
583,BSU_28950,thrS,threonyl-tRNA aminoacylation
584,BSU_28950,thrS,cytosol
585,BSU_28950,thrS,threonine-tRNA ligase activity
586,BSU_11250,argF,citrulline biosynthetic process
587,BSU_11250,argF,ornithine carbamoyltransferase activity
588,BSU_11250,argF,arginine biosynthetic process via ornithine
589,BSU_11240,carB,cytoplasm
590,BSU_11240,carB,nitrogen compound metabolic process
591,BSU_11240,carB,glutamine metabolic process
592,BSU_09300,glpD,glycerol-3-phosphate catabolic process
593,BSU_09300,glpD,glycerol-3-phosphate dehydrogenase (quinone) activity
594,BSU_09290,glpK,cytosol
600,BSU_05740,phoB,alkaline phosphatase activity
601,BSU_05740,phoB,dephosphorylation
602,BSU_01340,rpmD,cytosolic large ribosomal subunit
603,BSU_01350,rplO,structural constituent of ribosome
604,BSU_01350,rplO,cytosolic large ribosomal subunit
605,BSU_37110,tal,intracellular anatomical structure
606,BSU_32260,hom,threonine biosynthetic process
607,BSU_32260,hom,homoserine dehydrogenase activity
608,BSU_06660,opuE,proline transmembrane transport
609,BSU_06660,opuE,proline:sodium symporter activity
610,BSU_06670,gatC,glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity
611,BSU_06670,gatC,glutaminyl-tRNAGln biosynthesis via transamidation
612,BSU_26650,czcD,zinc ion transmembrane transport
613,BSU_26650,czcD,plasma membrane
614,BSU_26650,czcD,zinc ion transmembrane transporter activity
615,BSU_34050,lutA,cytosol
616,BSU_34050,lutA,L-lactate dehydrogenase activity
617,BSU_34090,yvfR,plasma membrane
618,BSU_34140,ganQ,ABC-type maltose transporter activity
619,BSU_34140,ganQ,maltose transport
620,BSU_34140,ganQ,maltodextrin transport
625,BSU_34460,levB,sucrose alpha-glucosidase activity
626,BSU_34460,levB,sucrose catabolic process
628,BSU_02880,yceB,cytosol
629,BSU_35210,yvkA,transmembrane transporter activity
630,BSU_35210,yvkA,integral component of plasma membrane
631,BSU_35210,yvkA,transmembrane transport
632,BSU_13010,pgl,6-phosphogluconolactonase activity
633,BSU_13010,pgl,cytosol
636,BSU_02690,ansZ,asparaginase activity
637,BSU_02690,ansZ,asparagine catabolic process
638,BSU_02690,ansZ,periplasmic space
643,BSU_29970,ytkP,L-cysteine desulfhydrase activity
644,BSU_29970,ytkP,pyridoxal phosphate binding
645,BSU_29970,ytkP,cytoplasm
650,BSU_27420,yrrI,transmembrane transport
651,BSU_34930,hisZ,histidyl-tRNA aminoacylation
652,BSU_34930,hisZ,histidine-tRNA ligase activity
653,BSU_29460,moaB,cytosol
656,BSU_33170,yvrB,integral component of plasma membrane
657,BSU_33170,yvrB,transmembrane transporter activity
658,BSU_33170,yvrB,siderophore-dependent iron import into cell
662,BSU_07580,citS,phosphorelay sensor kinase activity
