locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
BSU_00330,dnaH,AL009126.3,BSU00330,42499,42858,+,subunit of the DNA replication complex,"Replication, recombination and repair",P37542,Op5
BSU_00340,trmNF,AL009126.3,BSU00340,42917,43660,+,tRNA1(Val) (adenine(37)-N6)-methyltransferase,Function unknown,P37543,Op5
BSU_00350,yazA,AL009126.3,BSU00350,43647,43946,+,putative UvrC-Intron-type (URI) endonuclease,"Replication, recombination and repair",O31414,Op5
BSU_00360,rsmI,AL009126.3,BSU00360,43921,44799,+,16S rRNA 2'-O-ribose C1402 methyltransferase,Coenzyme transport and metabolism,P37544,Op5
BSU_00370,abrB,AL009126.3,BSU00370,44848,45138,-,transcriptional regulator for transition state genes (AbrB-SurF),Transcription,P08874,Op14
BSU_00380,metS,AL009126.3,BSU00380,45633,47627,+,methionyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",P37465,Op15
BSU_00390,dayD,AL009126.3,BSU00390,47706,48473,+,D-amino acyl-tRNA deacylase,"Replication, recombination and repair",P37545,Op5
BSU_00400,yabE,AL009126.3,BSU00400,48629,49942,+,putative cell wall shaping enzyme,Signal transduction mechanisms,P37546,Op16
BSU_00410,rnmV,AL009126.3,BSU00410,50087,50647,+,ribonuclease M5,"Translation, ribosomal structure and biogenesis",P37547,Op17
BSU_00420,rsmA,AL009126.3,BSU00420,50640,51518,+,dimethyladenosine 16S ribosomal RNA transferase,"Translation, ribosomal structure and biogenesis",P37468,Op17
BSU_00430,prtG,AL009126.3,BSU00430,51680,52552,+,sporulation-specific protease,Function unknown,P37548,Op18
BSU_00440,veg,AL009126.3,BSU00440,52763,53023,+,conserved hypothetical protein,Function unknown,P37466,Op19
BSU_00450,sspF,AL009126.3,BSU00450,53183,53368,+,small acid-soluble spore protein (alpha/beta-type SASP),Function unknown,P37549,Op20
BSU_00460,ispE,AL009126.3,BSU00460,53516,54385,+,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,Lipid transport and metabolism,P37550,Op5
BSU_00470,purR,AL009126.3,BSU00470,54441,55298,+,transcriptional regulator of the purine biosynthesis operon (PurR-pRpp),Nucleotide transport and metabolism,P37551,Op21
BSU_00480,ridA,AL009126.3,BSU00480,55295,55672,+,aminoacrylate/iminopropionate hydrolase/deaminase,"Translation, ribosomal structure and biogenesis",P37552,Op21
BSU_00490,spoVG,AL009126.3,BSU00490,55866,56159,+,regulator required for spore cortex synthesis (stage V sporulation),"Cell cycle control, cell division, chromosome partitioning",P28015,Op22
BSU_00500,glmU,AL009126.3,BSU00500,56352,57722,+,bifunctional glucosamine-1-phosphate N-acetyltransferase/UDP-N-acetylglucosamine pyrophosphorylase,Cell wall/membrane/envelope biogenesis,P14192,Op23
BSU_00510,prs,AL009126.3,BSU00510,57745,58698,+,phosphoribosylpyrophosphate synthetase,Nucleotide transport and metabolism,P14193,Op23
BSU_00520,ctc,AL009126.3,BSU00520,58783,59397,+,ribosomal protein BL25 (Ctc)%2C binding 5S RNA,"Translation, ribosomal structure and biogenesis",P14194,Op23
BSU_00530,pth,AL009126.3,BSU00530,59504,60070,+,peptidyl-tRNA hydrolase,"Translation, ribosomal structure and biogenesis",P37470,Op5
BSU_00540,fin,AL009126.3,BSU00540,60130,60360,+,protein required for the switch from F to G during sporulation (anti sigma F),Function unknown,P37553,Op24
BSU_00550,mfd,AL009126.3,BSU00550,60430,63963,+,transcription-repair coupling factor,"Replication, recombination and repair",P37474,Op5
BSU_00560,spoVT,AL009126.3,BSU00560,64099,64635,+,transcriptional regulator of sporulation / germination,Transcription,P37554,Op25
BSU_00570,yabM,AL009126.3,BSU00570,64817,66415,+,putative exporter,Function unknown,P37555,Op26
BSU_00580,yabN,AL009126.3,BSU00580,66405,67874,+,putative fusion methylase and nucleotide pyrophosphohydrolase,Function unknown,P37556,Op26
BSU_00590,hslR,AL009126.3,BSU00590,67877,68137,+,ribosomal RNA binding protein involved in 50S recycling%3B heat shock protein,"Translation, ribosomal structure and biogenesis",P37557,Op26
BSU_00600,spcP,AL009126.3,BSU00600,68216,68518,+,spore protein involved in the shaping of the spore coat,Function unknown,P37558,Op26
BSU_00610,spcQ,AL009126.3,BSU00610,68515,69150,+,membrane protein of the forespore,Function unknown,P37559,Op26
BSU_00620,divIC,AL009126.3,BSU00620,69168,69545,+,cell-division initiation protein,"Cell cycle control, cell division, chromosome partitioning",P37471,Op26
BSU_00630,yabR,AL009126.3,BSU00630,69626,70012,+,putative RNA degradation protein%3B polyribonucleotide nucleotidyltransferase or phosphorylase,"Translation, ribosomal structure and biogenesis",P37560,Op26
BSU_00640,spoIIE,AL009126.3,BSU00640,70538,73021,+,SpoIIAA-phosphate serine phosphatase,Transcription,P37475,Op27
BSU_00650,yabS,AL009126.3,BSU00650,73106,73843,+,conserved protein of unknown function,Function unknown,P37561,Op5
BSU_00660,prkT,AL009126.3,BSU00660,73809,74825,+,serine/threonine-protein kinase,Transcription,P37562,Op5
BSU_00670,tilS,AL009126.3,BSU00670,74929,76347,+,tRNA(ile2) lysidine synthetase,"Cell cycle control, cell division, chromosome partitioning",P37563,Op5
BSU_00680,hprT,AL009126.3,BSU00680,76344,76886,+,hypoxanthine-guanine phosphoribosyltransferase,Nucleotide transport and metabolism,P37472,Op5
BSU_00690,ftsH,AL009126.3,BSU00690,76984,78897,+,ATP-dependent cytoplasmic membrane protease,"Post-translational modification, protein turnover, and chaperones",P37476,Op28
BSU_00700,coaX,AL009126.3,BSU00700,79092,79868,+,pantothenate kinase type III,Nucleotide transport and metabolism,P37564,Op5
BSU_00710,hslO,AL009126.3,BSU00710,79880,80755,+,disulfide bond chaperone (heat shock protein HSP33),"Post-translational modification, protein turnover, and chaperones",P37565,Op5
BSU_00720,yacD,AL009126.3,BSU00720,80802,81695,+,putative protein chaperone accessory lipoprotein factor,"Post-translational modification, protein turnover, and chaperones",P37566,Op5
BSU_00730,cysK,AL009126.3,BSU00730,81771,82697,+,cysteine synthase,Amino acid transport and metabolism,P37887,Op29
BSU_00740,pabB,AL009126.3,BSU00740,82864,84276,+,4-amino-4-deoxychorismate synthase (para-aminobenzoate synthase),Amino acid transport and metabolism,P28820,Op30
BSU_00750,pabA,AL009126.3,BSU00750,84290,84874,+,4-amino-4-deoxychorismate synthase%3B anthranilate synthase (subunit II),Amino acid transport and metabolism,P28819,Op30
BSU_00760,pabC,AL009126.3,BSU00760,84874,85755,+,4-amino-4-deoxychorismate pyruvate-lyase,Amino acid transport and metabolism,P28821,Op30
BSU_00770,folP,AL009126.3,BSU00770,85737,86594,+,dihydropteroate synthase,Coenzyme transport and metabolism,P28822,Op30
BSU_00780,folB,AL009126.3,BSU00780,86587,86949,+,dihydroneopterin aldolase,Coenzyme transport and metabolism,P28823,Op30
BSU_00790,folK,AL009126.3,BSU00790,86946,87449,+,7%2C8-dihydro-6-hydroxymethylpterin pyrophosphokinase,Coenzyme transport and metabolism,P29252,Op30
BSU_00800,yazB,AL009126.3,BSU00800,87401,87610,+,putative transcriptional regulator,Transcription,O31417,Op30
BSU_00810,dusB,AL009126.3,BSU00810,87634,88635,+,tRNA-dihydrouridine synthase B,"Translation, ribosomal structure and biogenesis",P37567,Op30
BSU_00820,lysS,AL009126.3,BSU00820,88727,90226,+,lysyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",P37477,Op30
BSU_00830,ctsR,AL009126.3,BSU00830,101449,101913,+,transcriptional regulator of class III stress genes,Transcription,P37568,Op31
BSU_00840,mcsA,AL009126.3,BSU00840,101927,102484,+,activator of protein kinase McsB,Function unknown,P37569,Op31
BSU_00850,mcsB,AL009126.3,BSU00850,102484,103575,+,protein arginine kinase,Amino acid transport and metabolism,P37570,Op31
BSU_00860,clpC,AL009126.3,BSU00860,103572,106004,+,class III stress response-related ATPase%2C AAA+ superfamily,"Post-translational modification, protein turnover, and chaperones",P37571,Op31
BSU_00870,radA,AL009126.3,BSU00870,106096,107472,+,DNA repair protein%3B 6-O-methylguanine-DNA methyltransferase,"Post-translational modification, protein turnover, and chaperones",P37572,Op31
BSU_00880,disA,AL009126.3,BSU00880,107476,108558,+,diadenylate cyclase%3B DNA integrity scanning protein%3B cell cycle checkpoint DNA scanning protein,"Replication, recombination and repair",P37573,Op31
BSU_00890,yacL,AL009126.3,BSU00890,108674,109774,+,putative membrane protein possibly involved in RNA binding,Function unknown,Q06754,Op32
BSU_00900,ispD,AL009126.3,BSU00900,109789,110487,+,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase%2C nonmevalonate isoprenoid pathway,Lipid transport and metabolism,Q06755,Op32
BSU_00910,ispF,AL009126.3,BSU00910,110480,110956,+,2-C-methyl-D-erythritol-2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,Q06756,Op32
BSU_00920,gltX,AL009126.3,BSU00920,111047,112498,+,glutamyl-tRNA synthetase,"Translation, ribosomal structure and biogenesis",P22250,Op33
BSU_00930,cysE,AL009126.3,BSU00930,112800,113453,+,serine O-acetyltransferase,Amino acid transport and metabolism,Q06750,Op33
BSU_00940,cysS,AL009126.3,BSU00940,113450,114850,+,dual cysteinyl-tRNA synthetase%3B cysteine persulfide synthase,"Translation, ribosomal structure and biogenesis",Q06752,Op33
BSU_00950,mrnC,AL009126.3,BSU00950,114854,115285,+,ribonuclease for 23S RNA maturation%2C mini-RNase III,"Translation, ribosomal structure and biogenesis",O31418,Op33
BSU_00960,rlmB,AL009126.3,BSU00960,115269,116018,+,23S rRNA (Gm2251)-methyltransferase,"Translation, ribosomal structure and biogenesis",Q06753,Op33
BSU_00970,raeA,AL009126.3,BSU00970,116025,116537,+,ribosome-dependent mRNA endonuclease,Function unknown,P37574,Op33
BSU_00980,sigH,AL009126.3,BSU00980,116600,117256,+,RNA polymerase sigma-30 factor (sigma(H)),Transcription,P17869,Op34
BSU_00990,rpmGB,AL009126.3,BSU00990,117349,117498,+,ribosomal protein L33,"Translation, ribosomal structure and biogenesis",Q06798,Op5
BSU_01000,secE,AL009126.3,BSU01000,117532,117711,+,preprotein translocase subunit,"Intracellular trafficking, secretion, and vesicular transport",Q06799,Op5
BSU_01010,nusG,AL009126.3,BSU01010,117890,118423,+,RNA polymerase elongation pause factor,Transcription,Q06795,Op35
BSU_01020,rplK,AL009126.3,BSU01020,118591,119016,+,ribosomal protein L11 (BL11),"Translation, ribosomal structure and biogenesis",Q06796,Op5
BSU_01030,rplA,AL009126.3,BSU01030,119111,119809,+,ribosomal protein L1 (BL1),"Translation, ribosomal structure and biogenesis",Q06797,Op5
BSU_01040,rplJ,AL009126.3,BSU01040,120061,120561,+,ribosomal protein L10 (BL5),"Translation, ribosomal structure and biogenesis",P42923,Op36
BSU_01050,rplL,AL009126.3,BSU01050,120607,120978,+,ribosomal protein L12 (BL9),"Translation, ribosomal structure and biogenesis",P02394,Op36
BSU_01060,rlmG,AL009126.3,BSU01060,121068,121673,+,23S rRNA m2G1835 methyltransferase,"Translation, ribosomal structure and biogenesis",P37872,Op5
BSU_01070,rpoB,AL009126.3,BSU01070,121919,125500,+,RNA polymerase (beta subunit),Transcription,P37870,Op37
BSU_01080,rpoC,AL009126.3,BSU01080,125562,129161,+,RNA polymerase (beta' subunit),Transcription,P37871,Op5
BSU_01090,rulS,AL009126.3,BSU01090,129340,129588,+,K-turn RNA binding protein%3B alternative ribosomal protein L7A,"Translation, ribosomal structure and biogenesis",P46350,Op5
BSU_01100,rpsL,AL009126.3,BSU01100,129702,130118,+,ribosomal protein S12 (BS12),"Translation, ribosomal structure and biogenesis",P21472,Op5
BSU_01110,rpsG,AL009126.3,BSU01110,130160,130630,+,ribosomal protein S7 (BS7),"Translation, ribosomal structure and biogenesis",P21469,Op5
BSU_01120,fusA,AL009126.3,BSU01120,130684,132762,+,elongation factor G,"Translation, ribosomal structure and biogenesis",P80868,Op5
BSU_01130,tufA,AL009126.3,BSU01130,132882,134072,+,elongation factor Tu,"Translation, ribosomal structure and biogenesis",P33166,Op5
BSU_01140,ybaC,AL009126.3,BSU01140,134171,135127,+,putative proline iminopeptidase,Function unknown,P70981,Op5
BSU_01150,rpsJ,AL009126.3,BSU01150,135364,135672,+,ribosomal protein S10 (BS13)%3B transcription antitermination factor,"Translation, ribosomal structure and biogenesis",P21471,Op5
BSU_01160,rplC,AL009126.3,BSU01160,135712,136341,+,ribosomal protein L3 (BL3),"Translation, ribosomal structure and biogenesis",P42920,Op5
BSU_01170,rplD,AL009126.3,BSU01170,136369,136992,+,ribosomal protein L4,"Translation, ribosomal structure and biogenesis",P42921,Op5
BSU_01180,rplW,AL009126.3,BSU01180,136992,137279,+,ribosomal protein L23,"Translation, ribosomal structure and biogenesis",P42924,Op5
BSU_01190,rplB,AL009126.3,BSU01190,137311,138144,+,ribosomal protein L2 (BL2),"Translation, ribosomal structure and biogenesis",P42919,Op5
BSU_01200,rpsS,AL009126.3,BSU01200,138202,138480,+,ribosomal protein S19 (BS19),"Translation, ribosomal structure and biogenesis",P21476,Op5
BSU_01210,rplV,AL009126.3,BSU01210,138497,138838,+,ribosomal protein L22 (BL17),"Translation, ribosomal structure and biogenesis",P42060,Op5
BSU_01220,rpsC,AL009126.3,BSU01220,138842,139498,+,ribosomal protein S3 (BS3),"Translation, ribosomal structure and biogenesis",P21465,Op5
BSU_01230,rplP,AL009126.3,BSU01230,139500,139934,+,ribosomal protein L16,"Translation, ribosomal structure and biogenesis",P14577,Op5
BSU_01240,rpmC,AL009126.3,BSU01240,139924,140124,+,ribosomal protein L29,"Translation, ribosomal structure and biogenesis",P12873,Op5
BSU_01250,rpsQ,AL009126.3,BSU01250,140147,140410,+,ribosomal protein S17 (BS16),"Translation, ribosomal structure and biogenesis",P12874,Op5
BSU_01260,rplNA,AL009126.3,BSU01260,140451,140819,+,ribosomal protein L14,"Translation, ribosomal structure and biogenesis",P12875,Op5
BSU_01270,rplX,AL009126.3,BSU01270,140857,141168,+,ribosomal protein L24 (BL23),"Translation, ribosomal structure and biogenesis",P0CI78,Op5
BSU_01280,rplE,AL009126.3,BSU01280,141195,141734,+,ribosomal protein L5 (BL6),"Translation, ribosomal structure and biogenesis",P12877,Op5
BSU_01290,rpsNA,AL009126.3,BSU01290,141757,141942,+,ribosomal protein S14,"Translation, ribosomal structure and biogenesis",P12878,Op5
BSU_01300,rpsH,AL009126.3,BSU01300,141974,142372,+,ribosomal protein S8 (BS8),"Translation, ribosomal structure and biogenesis",P12879,Op5
BSU_01310,rplF,AL009126.3,BSU01310,142402,142941,+,ribosomal protein L6 (BL8),"Translation, ribosomal structure and biogenesis",P46898,Op5
BSU_01320,rplR,AL009126.3,BSU01320,142974,143336,+,ribosomal protein L18,"Translation, ribosomal structure and biogenesis",P46899,Op5
BSU_01330,rpsE,AL009126.3,BSU01330,143361,143861,+,ribosomal protein S5,"Translation, ribosomal structure and biogenesis",P21467,Op5
BSU_01340,rpmD,AL009126.3,BSU01340,143875,144054,+,ribosomal protein L30 (BL27),"Translation, ribosomal structure and biogenesis",P19947,Op5
BSU_01350,rplO,AL009126.3,BSU01350,144085,144525,+,ribosomal protein L15,"Translation, ribosomal structure and biogenesis",P19946,Op5
BSU_01360,secY,AL009126.3,BSU01360,144527,145822,+,preprotein translocase subunit,"Intracellular trafficking, secretion, and vesicular transport",P16336,Op5
BSU_01370,adk,AL009126.3,BSU01370,145877,146530,+,adenylate kinase,Nucleotide transport and metabolism,P16304,Op5
BSU_01380,mapA,AL009126.3,BSU01380,146527,147273,+,methionine aminopeptidase,Amino acid transport and metabolism,P19994,Op5
BSU_01389,ybzG,AL009126.3,BSU01389,147312,147536,+,putative ribosome binding protein,"Translation, ribosomal structure and biogenesis",C0H3S8,Op5
BSU_01390,infA,AL009126.3,BSU01390,147585,147803,+,initiation factor IF-I,"Translation, ribosomal structure and biogenesis",P20458,Op5
BSU_01400,rpmJ,AL009126.3,BSU01400,147837,147950,+,ribosomal protein L36 (ribosomal protein B),"Translation, ribosomal structure and biogenesis",P20278,Op5
BSU_01410,rpsM,AL009126.3,BSU01410,147973,148338,+,ribosomal protein S13,"Translation, ribosomal structure and biogenesis",P20282,Op5
BSU_01420,rpsK,AL009126.3,BSU01420,148359,148754,+,ribosomal protein S11 (BS11),"Translation, ribosomal structure and biogenesis",P04969,Op5
BSU_01430,rpoA,AL009126.3,BSU01430,148931,149875,+,RNA polymerase (alpha subunit),Transcription,P20429,Op5
BSU_01440,rplQ,AL009126.3,BSU01440,149953,150315,+,ribosomal protein L17 (BL15),"Translation, ribosomal structure and biogenesis",P20277,Op5
BSU_01450,ecfA,AL009126.3,BSU01450,150443,151288,+,energizing coupling factor of ABC influx transporter (ATP-binding protein),Inorganic ion transport and metabolism,P40735,Op5
BSU_01460,ecfAB,AL009126.3,BSU01460,151303,152133,+,energizing coupling factor of ABC influx transporter (ATP-binding protein),Inorganic ion transport and metabolism,P70970,Op5
BSU_01470,ecfT,AL009126.3,BSU01470,152130,152927,+,component of the influx ECF transporters,Inorganic ion transport and metabolism,P70972,Op5
BSU_01480,truA,AL009126.3,BSU01480,152937,153680,+,tRNA pseudouridine (38-40) synthase,"Translation, ribosomal structure and biogenesis",P70973,Op5
BSU_01490,rplM,AL009126.3,BSU01490,153842,154279,+,ribosomal protein L13,"Translation, ribosomal structure and biogenesis",P70974,Op5
BSU_01500,rpsI,AL009126.3,BSU01500,154300,154692,+,ribosomal protein S9,"Translation, ribosomal structure and biogenesis",P21470,Op5
BSU_01510,ybaJ,AL009126.3,BSU01510,155156,155923,+,putative methyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",P70976,Op5
BSU_01520,ybaK,AL009126.3,BSU01520,156109,156552,+,conserved protein of unknown function,Function unknown,P50862,Op38
BSU_01530,cwlD,AL009126.3,BSU01530,156612,157325,+,N-acetylmuramoyl-L-alanine amidase,Cell wall/membrane/envelope biogenesis,P50864,Op38
BSU_01540,salA,AL009126.3,BSU01540,157421,158479,+,phosphorylation-dependent (Y327) transcriptional regulator,"Cell cycle control, cell division, chromosome partitioning",P50863,Op5
BSU_01550,gerD,AL009126.3,BSU01550,158515,159072,-,lipoprotein factor mediating clustering of germination proteins,No COG annotation,P16450,Op39
BSU_01560,kbaA,AL009126.3,BSU01560,159182,159778,+,inner membrane protein involved in activation of the KinB signaling pathway to sporulation,Function unknown,P16449,Op40
BSU_01570,pdaB,AL009126.3,BSU01570,159779,160543,-,polysaccharide deacetylase involved in sporulation,Carbohydrate transport and metabolism,P50865,Op41
BSU_01580,ybaR,AL009126.3,BSU01580,177083,178519,+,putative permease,Inorganic ion transport and metabolism,P55189,Op5
BSU_01590,ybaS,AL009126.3,BSU01590,178665,179585,+,putative sodium dependent transporter,Function unknown,P55190,Op5
BSU_01600,eesA,AL009126.3,BSU01600,179595,180347,-,iron-chelator (enterobactin family) esterase,Function unknown,P55192,Op42
BSU_01610,feuC,AL009126.3,BSU01610,180344,181354,-,iron-uptake protein,Inorganic ion transport and metabolism,P40411,Op42
BSU_01620,feuB,AL009126.3,BSU01620,181347,182351,-,ferri-bacillibactin permease,Inorganic ion transport and metabolism,P40410,Op42
BSU_01630,feuA,AL009126.3,BSU01630,182370,183323,-,ferri-bacillibactin-binding lipoprotein,Inorganic ion transport and metabolism,P40409,Op42
BSU_01640,btr,AL009126.3,BSU01640,183414,185003,-,transcriptional activator (AraC/XylS family) of synthesis and uptake of the siderophore bacillibactin,Transcription,P40408,Op43
BSU_01650,ybbC,AL009126.3,BSU01650,185194,186438,-,conserved protein of unknown function,Function unknown,P40407,Op44
BSU_01660,nagZ,AL009126.3,BSU01660,186452,188380,-,N-acetylglucosaminidase lipoprotein,Carbohydrate transport and metabolism,P40406,Op44
BSU_01670,amiE,AL009126.3,BSU01670,188408,189733,-,amidase hydrolyzing N-acetylmuramyl-L-Ala bond of MurNAc peptides,Defense mechanisms,O05213,Op44
BSU_01680,murP,AL009126.3,BSU01680,189790,191157,-,N-acetylmuramic acid PTS permease-MurP subunit,Carbohydrate transport and metabolism,Q797S1,Op5
BSU_01690,murR,AL009126.3,BSU01690,191183,192034,-,transcriptional regulator MurR-N-acetylmuramic acid,Transcription,Q45581,Op5
BSU_01700,murQ,AL009126.3,BSU01700,192051,192965,-,D-lactyl ether N-acetylmuramic-6-phosphate acid etherase,Carbohydrate transport and metabolism,Q45582,Op5
BSU_01710,ybbJ,AL009126.3,BSU01710,193075,193557,-,putative acyltransferase,"Translation, ribosomal structure and biogenesis",Q45583,Op5
BSU_01720,ybbK,AL009126.3,BSU01720,193570,194025,-,conserved protein of unknown function,Function unknown,Q45584,Op5
BSU_01730,sigW,AL009126.3,BSU01730,194849,195412,+,RNA polymerase ECF(extracytoplasmic function)-type sigma factor W,Transcription,Q45585,Op45
BSU_01740,rsiW,AL009126.3,BSU01740,195426,196052,+,anti-sigma(W) factor,Transcription,Q45588,Op45
BSU_01750,cdaA,AL009126.3,BSU01750,196213,197034,+,diadenylate cyclase,Function unknown,Q45589,Op46
BSU_01760,cdaR,AL009126.3,BSU01760,197027,198478,+,regulator of diadenylate cyclase activity,Function unknown,O34659,Op46
BSU_01770,glmM,AL009126.3,BSU01770,198497,199843,+,phosphoglucosamine mutase,Carbohydrate transport and metabolism,O34824,Op46
BSU_01780,glmS,AL009126.3,BSU01780,200277,202079,+,L-glutamine-D-fructose-6-phosphate amidotransferase,Cell wall/membrane/envelope biogenesis,P0CI73,Op47
BSU_01790,ybbU,AL009126.3,BSU01790,202126,202266,+,hypothetical protein,No COG annotation,A0A2K4Z9G0,Op48
BSU_01800,alkA,AL009126.3,BSU01800,202547,203458,-,DNA-3-methyladenine glycosylase%3B prophage 1 region,"Replication, recombination and repair",P37878,Op49
BSU_01810,adaA,AL009126.3,BSU01810,203729,204364,+,methylphosphotriester-DNA alkyltransferase and transcriptional regulator (AraC/XylS family),Transcription,P19219,Op50
BSU_01820,adaB,AL009126.3,BSU01820,204351,204890,+,O6-methylguanine-DNA methyltransferase%3B prophage 1 region,"Replication, recombination and repair",P19220,Op50
BSU_01830,ndhF,AL009126.3,BSU01830,205409,206926,+,putative NADH dehydrogenase%3B prophage 1 region,Energy production and conversion,P39755,Op5
BSU_01845,ybcC,AL009126.3,BSU01845,206941,209556,+,conserved transmembrane protein coupled to NADH-ubiquinone oxidoreductase chain 5 homolog%3B prophage 1 region,Function unknown,O34688,Op5
BSU_01860,ybcF,AL009126.3,BSU01860,209633,210160,+,putative enzyme%3B prophage 1 region,Inorganic ion transport and metabolism,O34823,Op5
BSU_01870,ybcH,AL009126.3,BSU01870,210224,210514,+,conserved protein of unknown function%3B prophage 1 region,No COG annotation,O34795,Op5
BSU_01880,ybcI,AL009126.3,BSU01880,210572,210946,+,conserved hypothetical protein%3B prophage 1 region,Function unknown,O34380,Op5
BSU_01889,ybzH,AL009126.3,BSU01889,211429,211731,+,putative transcriptional regulator (ArsR family)%3B prophage 1 region,Transcription,C0H3S9,Op5
BSU_01890,ybcL,AL009126.3,BSU01890,211859,213031,+,putative efflux transporter%3B prophage 1 region,Amino acid transport and metabolism,O34663,Op51
